Title,Release Date,Genre,Revenue,Budget
No Good Deed,2014-09-12,Crime,13200000.0,54300000.0
No One Lives,2013-05-10,Horror,2900000.0,1000000.0
Noah,2014-03-10,Adventure,125000000.0,362600000.0
Non-Stop,2014-01-27,Thriller,50000000.0,222800000.0
Now You See Me,2013-05-31,Crime,75000000.0,351700000.0
Now You See Me 2,2016-06-06,Thriller,90000000.0,320900000.0
Oblivion,2013-04-10,Action,120000000.0,286200000.0
Olympus Has Fallen,2013-03-22,Action,70000000.0,161000000.0
One Direction: This Is Us,2013-08-29,Documentary,10000000.0,68500000.0
One for the Money,2012-01-27,Crime,40000000.0,36900000.0
Ouija,2014-10-24,Horror,5000000.0,103600000.0
Our Brand Is Crisis,2015-09-11,Comedy,28000000.0,8600000.0
Pacific Rim,2013-07-12,Action,190000000.0,411000000.0
Pain & Gain,2013-04-26,Action,26000000.0,86200000.0
Pan,2015-09-30,Fantasy,150000000.0,128400000.0
Paper Towns,2015-07-24,Romance,12000000.0,85500000.0
Paranormal Activity 4,2012-10-19,Thriller,5000000.0,142800000.0
Paranormal Activity: The Ghost Dimension,2015-10-23,Horror,10000000.0,78100000.0
ParaNorman,2012-08-17,Fantasy,60000000.0,107100000.0
Parental Guidance,2012-12-25,Comedy,25000000.0,119800000.0
Parker,2013-01-25,Crime,35000000.0,48500000.0
Paul Blart: Mall Cop 2,2015-04-17,Action,40000000.0,107600000.0
Pawn Sacrifice,2015-09-11,Biography,19000000.0,5400000.0
Penguins of Madagascar,2014-11-14,Family,132000000.0,373000000.0
People Like Us,2012-06-29,Drama,16000000.0,12400000.0
Percy Jackson: Sea of Monsters,2013-08-07,Adventure,90000000.0,202200000.0
Pitch Perfect,2012-10-05,Comedy,17000000.0,115400000.0
Pitch Perfect 2,2015-04-20,Comedy,29000000.0,287100000.0
Pixels,2015-07-24,Comedy,129000000.0,244900000.0
Point Break,2015-12-25,Action,105000000.0,133700000.0
Polis Evo,2015-09-17,Action,2400000.0,17300000.0
Poltergeist,2015-05-22,Horror,35000000.0,95400000.0
Pompeii,2014-02-18,Action,80000000.0,117800000.0
Popstar: Never Stop Never Stopping,2016-06-03,Comedy,20000000.0,9500000.0
Premium Rush,2012-08-24,Action,35000000.0,31100000.0
Pride and Prejudice and Zombies,2016-02-05,Comedy,28000000.0,16400000.0
Prisoners,2013-09-20,Crime,46000000.0,122100000.0
Project Almanac,2015-01-30,Sci-Fi,12000000.0,33200000.0
Project X,2012-03-02,Comedy,12000000.0,102700000.0
Prometheus,2012-06-08,Sci-Fi,130000000.0,403400000.0
